[TEST DEBUG] Env_t: 200 | Actions: [3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1]
[TEST DEBUG] Env_t: 200 | Actions: [3, 1, 3, 3, 3, 3, 1, 1, 1, 3, 7, 3, 3, 1, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 1]
[TEST DEBUG] Env_t: 200 | Actions: [1, 1, 3, 1, 1, 3, 3, 3, 3, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1, 1, 3, 3, 3, 3, 3]
[TEST DEBUG] Env_t: 200 | Actions: [3, 3, 3, 3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 1, 3, 3]
[TEST DEBUG] Env_t: 200 | Actions: [3, 3, 3, 1, 1, 1, 1, 3, 1, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1]
[TEST DEBUG] Env_t: 200 | Actions: [1, 1, 3, 1, 3, 3, 1, 3, 1, 3, 3, 3, 1, 1, 1, 3, 1, 3, 3, 3, 1, 3, 1, 3, 1]
[TEST DEBUG] Env_t: 200 | Actions: [3, 3, 1, 1, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 7, 1, 3, 3, 1, 1, 1, 1, 3, 3]
[TEST DEBUG] Env_t: 200 | Actions: [1, 3, 1, 1, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1]
[TEST DEBUG] Env_t: 200 | Actions: [3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 1, 3, 3, 1, 1, 3, 1, 3, 3, 1, 1]
[TEST DEBUG] Env_t: 200 | Actions: [3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3]
[TEST DEBUG] Env_t: 200 | Actions: [1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 1, 3, 1, 1, 7, 3, 1, 1, 3]
[TEST DEBUG] Env_t: 200 | Actions: [3, 1, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 1, 3, 3]
[TEST DEBUG] Env_t: 200 | Actions: [3, 1, 3, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 1, 1, 1, 3, 1, 1, 3, 3, 3, 1, 3]
[TEST DEBUG] Env_t: 200 | Actions: [3, 1, 3, 1, 3, 1, 3, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 1]
